Distance mm,,R,1/R,R,1/R,R,Scale factor,Average 1/R ,,
10,354,119.43,0.008373105584861,168.61,0.005930846331772,,,0.007151975958316,,
9,328.6,116.26,0.008601410631344,131.34,0.007613826709304,,,0.008107618670324,,
8,303.2,114.13,0.008761938140717,127.32,0.007854225573358,,,0.008308081857038,,
7,277.8,92.5,0.010810810810811,101.92,0.009811616954474,,,0.010311213882643,,
6,252.4,81.52,0.012266928361138,84.07,0.011894849530154,,,0.012080888945646,,
5,227,65.68,0.015225334957369,70.75,0.014134275618375,,,0.014679805287872,,
4,201.6,55.53,0.018008283810553,66.13,0.015121729925904,,,0.016565006868228,,
3,176.2,53.26,0.018775816748029,69.2,0.014450867052023,,,0.016613341900026,,
2,150.8,103.01,0.009707795359674,120.43,0.008303578842481,,,0.009005687101077,,
1,125.4,561.5,0.001780943900267,716.4,0.001395868230039,26.05,27.5009596928983,0.001588406065153,,
20,608,,,325.9,0.003068425897515,57.67,5.65111843246055,0.003068425897515,,changd the width of the sensor 
30,862,,,725.1,0.001379120121363,131.2,5.52667682926829,0.001379120121363,,
40,1116,,,913.728873670024,0.001094416548296,163.49,5.58889763086442,0.001094416548296,,
50,1370,,,1162.4907072198,0.000860221930196,208,,0.000860221930196,,
60,1624,,,1683.93485617945,0.000593847200401,301.3,,0.000593847200401,,
70,1878,,,2175.19895793243,0.000459728061359,389.2,,0.000459728061359,,
80,2132,,,2371.36926477577,0.000421697293144,424.3,,0.000421697293144,,
90,2386,,,2898.40231136629,0.000345017665794,518.6,,0.000345017665794,,
,,,,,,,,,,
,,,,,,,,,,
,64.3636363636364,,,,,317.185,,,,
